n,knob_mf,knob_sl,knob_sf,knob_ift,knob_sft,knob_dt,time,error
0,1000,8,1.2,20,7,40,0.0587973764,0.090838
1,1000,8,1.2,20,7,20,0.0573140567,0.102646
2,1000,8,1.2,20,7,60,0.0541361304,0.096756
3,1000,8,1.2,20,3,40,0.0709662551,0.101039
4,1000,8,1.2,20,3,20,0.0718863061,0.095571
5,1000,8,1.2,20,3,60,0.070459568,0.093656
6,1000,8,1.2,20,15,40,0.0491183798,0.095378
7,1000,8,1.2,20,15,20,0.0489259025,0.104344
8,1000,8,1.2,20,15,60,0.0448248141,0.099666
9,1000,8,1.2,10,7,40,0.0664493209,0.098726
10,1000,8,1.2,10,7,20,0.05482811,0.602756
11,1000,8,1.2,10,7,60,0.0622965533,0.091644
12,1000,8,1.2,10,3,40,0.0715194014,0.101013
13,1000,8,1.2,10,3,20,0.0697124807,0.100078
14,1000,8,1.2,10,3,60,0.068589407,0.094536
15,1000,8,1.2,30,7,40,0.0611784728,0.096758
16,1000,8,1.2,30,7,20,0.0508971893,0.572999
17,1000,8,1.2,30,7,60,0.0589282574,0.092895
18,1000,8,1.2,30,3,40,0.0769999535,0.101506
19,1000,8,1.2,30,3,20,0.0686932528,0.098565
20,1000,8,1.2,30,3,60,0.0776717959,0.093526
21,1000,8,1.2,30,15,40,0.0432107154,0.094358
22,1000,8,1.2,30,15,20,0.0415703379,0.092683
23,1000,8,1.2,30,15,60,0.0367972517,0.100648
24,1000,8,1.1,20,7,40,0.0634632846,0.10036
25,1000,8,1.1,20,7,20,0.063397432,0.093111
26,1000,8,1.1,20,7,60,0.0553064388,0.098175
27,1000,8,1.1,20,3,40,0.0725831111,0.09539
28,1000,8,1.1,20,3,20,0.0609160839,0.576364
29,1000,8,1.1,20,3,60,0.0648219342,0.091243
30,1000,8,1.1,20,15,40,0.0505431791,0.099947
31,1000,8,1.1,20,15,20,0.0487092222,0.096949
32,1000,8,1.1,20,15,60,0.0450513435,0.110537
33,1000,8,1.1,10,7,40,0.0631352154,0.1009
34,1000,8,1.1,10,7,20,0.054896559,0.593452
35,1000,8,1.1,10,7,60,0.0559451735,0.092357
36,1000,8,1.1,10,3,40,0.0802258231,0.096877
37,1000,8,1.1,10,3,20,0.0734111712,0.10271
38,1000,8,1.1,10,3,60,0.0640929206,0.090296
39,1000,8,1.1,30,7,40,0.0661491009,0.09974
40,1000,8,1.1,30,7,20,0.0647578651,0.096795
41,1000,8,1.1,30,7,60,0.0576820964,0.09383
42,1000,8,1.1,30,3,40,0.0746023526,0.093122
43,1000,8,1.1,30,3,20,0.0778052007,0.0969
44,1000,8,1.1,30,3,60,0.0720748526,0.096017
45,1000,8,1.1,30,15,40,0.0492827098,0.099766
46,1000,8,1.1,30,15,20,0.0491707868,0.097857
47,1000,8,1.1,30,15,60,0.0433718957,0.087131
48,1000,8,1.3,20,7,40,0.0609014796,0.096129
49,1000,8,1.3,20,7,20,0.0549254467,0.094914
50,1000,8,1.3,20,7,60,0.0527814717,0.101268
51,1000,8,1.3,20,3,40,0.0704149422,0.098184
52,1000,8,1.3,20,3,20,0.0525606224,0.57823
53,1000,8,1.3,20,3,60,0.0677647755,0.094601
54,1000,8,1.3,20,15,40,0.0474160454,0.094864
55,1000,8,1.3,20,15,20,0.0459097075,0.096072
56,1000,8,1.3,20,15,60,0.0451826043,0.105458
57,1000,8,1.3,10,7,40,0.0668161927,0.101893
58,1000,8,1.3,10,7,20,0.0668745283,0.107849
59,1000,8,1.3,10,7,60,0.0671884422,0.089922
60,1000,8,1.3,10,3,40,0.0753543311,0.10125
61,1000,8,1.3,10,3,20,0.0728399705,0.100226
62,1000,8,1.3,10,3,60,0.0710382279,0.093397
63,1000,8,1.3,30,7,40,0.0610386565,0.103653
64,1000,8,1.3,30,7,20,0.0494482596,0.554391
65,1000,8,1.3,30,7,60,0.0549770567,0.098054
66,1000,8,1.3,30,3,40,0.0736320669,0.099673
67,1000,8,1.3,30,3,20,0.0713130522,0.097484
68,1000,8,1.3,30,3,60,0.0647981871,0.084807
69,1000,8,1.3,30,15,40,0.0406542857,0.099073
70,1000,8,1.3,30,15,20,0.0373882041,0.094416
71,1000,8,1.3,30,15,60,0.0373813095,0.082672
72,1000,8,1.05,20,7,40,0.0653174512,0.097653
73,1000,8,1.05,20,7,20,0.0597687029,0.581789
74,1000,8,1.05,20,7,60,0.0565455567,0.093695
75,1000,8,1.05,20,3,40,0.0820870238,0.095012
76,1000,8,1.05,20,3,20,0.0804089637,0.094549
77,1000,8,1.05,20,3,60,0.0783820669,0.093941
78,1000,8,1.05,20,15,40,0.0547186519,0.103273
79,1000,8,1.05,20,15,20,0.053160932,0.1038
80,1000,8,1.05,20,15,60,0.049365305,0.071691
81,1000,8,1.05,10,7,40,0.0703254807,0.098475
82,1000,8,1.05,10,7,20,0.0699382732,0.101222
83,1000,8,1.05,10,7,60,0.0635280624,0.092145
84,1000,8,1.05,10,3,40,0.0787293186,0.098358
85,1000,8,1.05,10,3,20,0.062874424,0.583269
86,1000,8,1.05,10,3,60,0.0717172234,0.094455
87,1000,8,1.05,30,7,40,0.0678622268,0.103052
88,1000,8,1.05,30,7,20,0.0727456701,0.098649
89,1000,8,1.05,30,7,60,0.0640082426,0.096544
90,1000,8,1.05,30,3,40,0.0864377018,0.09814
91,1000,8,1.05,30,3,20,0.0777106429,0.087128
92,1000,8,1.05,30,3,60,0.0713119308,0.090705
93,1000,8,1.05,30,15,40,0.0521725283,0.097515
94,1000,8,1.05,30,15,20,0.0533310249,0.099633
95,1000,8,1.05,30,15,60,0.0488201803,0.071679
96,1000,2,1.2,20,7,40,0.0542278005,0.095191
97,1000,2,1.2,20,7,20,0.0452014127,0.095281
98,1000,2,1.2,20,7,60,0.0489309365,0.093833
99,1000,2,1.2,20,3,40,0.0681017925,0.094146
100,1000,2,1.2,20,3,20,0.0632116417,0.098049
101,1000,2,1.2,20,3,60,0.0693481939,0.095197
102,1000,2,1.2,20,15,40,0.0292433673,0.741391
103,1000,2,1.2,20,15,20,0.0228420091,0.735244
104,1000,2,1.2,20,15,60,0.0259866429,0.756626
105,1000,2,1.2,10,7,40,0.0550932925,0.101119
106,1000,2,1.2,10,7,20,0.0494540102,0.097089
107,1000,2,1.2,10,7,60,0.0589582324,0.096721
108,1000,2,1.2,10,3,40,0.0670467925,0.09576
109,1000,2,1.2,10,3,20,0.0614057528,0.092404
110,1000,2,1.2,10,3,60,0.0690537007,0.092943
111,1000,2,1.2,30,7,40,0.0560675351,0.09627
112,1000,2,1.2,30,7,20,0.050061432,0.097587
113,1000,2,1.2,30,7,60,0.0558485476,0.094916
114,1000,2,1.2,30,3,40,0.0755329354,0.093232
115,1000,2,1.2,30,3,20,0.0612640023,0.092014
116,1000,2,1.2,30,3,60,0.0708116485,0.08785
117,1000,2,1.2,30,15,40,0.022697195,0.724856
118,1000,2,1.2,30,15,20,0.021531941,0.726005
119,1000,2,1.2,30,15,60,0.0239491973,0.732803
120,1000,2,1.1,20,7,40,0.0514699297,0.100017
121,1000,2,1.1,20,7,20,0.0477091689,0.093903
122,1000,2,1.1,20,7,60,0.051543076,0.094646
123,1000,2,1.1,20,3,40,0.0693882392,0.095221
124,1000,2,1.1,20,3,20,0.0625205147,0.092942
125,1000,2,1.1,20,3,60,0.0697050975,0.09268
126,1000,2,1.1,20,15,40,0.0289819909,0.741999
127,1000,2,1.1,20,15,20,0.0234714955,0.733101
128,1000,2,1.1,20,15,60,0.0249989626,0.732394
129,1000,2,1.1,10,7,40,0.0617263741,0.101178
130,1000,2,1.1,10,7,20,0.0406115918,0.585237
131,1000,2,1.1,10,7,60,0.0588746327,0.096138
132,1000,2,1.1,10,3,40,0.0698167415,0.096779
133,1000,2,1.1,10,3,20,0.0600851939,0.091891
134,1000,2,1.1,10,3,60,0.0676962154,0.09327
135,1000,2,1.1,30,7,40,0.0611262868,0.099064
136,1000,2,1.1,30,7,20,0.05260711,0.095094
